user,drink_1,drink_2,drink_3
kiely\n,Trenta Frappucino,Pumpkin Spice in a glass Jar,Decaf Bottled Mocha Lite
briand92\n,Frappuccino flavor,Thin Mint Frapp,Sakura Mochi Frappucino
Janice1951\n,Decaf Green tea frappucino,Maple chip Frappuccino,Caffeine free vanilla frap in a bottle
jamescrouch\n,The Classic Frapp,Caffeine free vanilla frap in a bottle,Chocolate Cinnamon Frappuccino
peterpulmonary\n,Decaf Green tea frappucino,Devil's Drink,Thin Mint Frapp
KelliJ\n,Pumpkin Spice in a glass Jar,Decaf Green tea frappucino,Thin Mint Frapp
luke\n,Bring back the Classic Frappuccino,Caffeine free vanilla frap in a bottle,How about a birthday cake drink?
ashleyaf\n,Caffeine free vanilla frap in a bottle,Thin Mint Frapp,Pumpkin Spice in a glass Jar
jacobsmom\n,Decaf Green tea frappucino,Thin Mint Frapp,Frappuccino flavor
Kimmiemo\n,Caffeine free vanilla frap in a bottle,Decaf Bottled Mocha Lite,Pumpkin Spice in a glass Jar
kianster\n,Frappuccino flavor,The Classic Frapp,How about a birthday cake drink?
JavaGiuseppe\n,Trenta Frappucino,How about a birthday cake drink?,Devil's Drink
vegasjoe\n,Frappuccino flavor,Pumpkin Spice in a glass Jar,Caffeine free vanilla frap in a bottle
Natedogg2323\n,Pumpkin Spice in a glass Jar,Vanilla frapacinos please!,Decaf Bottled Mocha Lite
Arnold\n,Trenta Frappucino,Decaf Bottled Mocha Lite,Decaf Green tea frappucino
bringit2mtnhom\n,How about a birthday cake drink?,Caffeine free vanilla frap in a bottle,Pumpkin Spice in a glass Jar
Bark\n,Caffeine free vanilla frap in a bottle,Maple chip Frappuccino,How about a birthday cake drink?
ThomasA\n,How about a birthday cake drink?,Salted hazelnut frappuccino !,Thin Mint Frapp
sdflyer\n,Frappuccino flavor,Pumpkin Spice in a glass Jar,The Classic Frapp
SteveSC\n,The Classic Frapp,Caffeine free vanilla frap in a bottle,Chocolate Cinnamon Frappuccino
Target362\n,Caffeine free vanilla frap in a bottle,Decaf Bottled Mocha Lite,Frappuccino flavor
burogal\n,How about a birthday cake drink?,A Red Velvet Frappuccino,Sakura Mochi Frappucino
beanista\n,The Classic Frapp,Caffeine free vanilla frap in a bottle,Chocolate Cinnamon Frappuccino
Serhattas\n,Pumpkin Spice in a glass Jar,Vanilla frapacinos please!,Decaf Green tea frappucino
tjohnson1978\n,Decaf Green tea frappucino,The Classic Frapp,Vanilla frapacinos please!
robertde\n,Sakura Mochi Frappucino,Devil's Drink,Frappuccino flavor
scoobydo\n,Pumpkin Spice in a glass Jar,The Classic Frapp,Chocolate Cinnamon Frappuccino
shantelj\n,Decaf Bottled Mocha Lite,Pumpkin Spice in a glass Jar,Belly Blaster Garcinia-ccino
gwen1975\n,Salted hazelnut frappuccino !,Vanilla frapacinos please!,Sakura Mochi Frappucino
calcal89\n,Belly Blaster Garcinia-ccino,How about a birthday cake drink?,The Classic Frapp
CM_\n,Decaf Bottled Mocha Lite,A Red Velvet Frappuccino,Sakura Mochi Frappucino
dchu220\n,Frappuccino flavor,Decaf Bottled Mocha Lite,Devil's Drink
ShawnaNichole\n,How about a birthday cake drink?,Pumpkin Spice in a glass Jar,Decaf Green tea frappucino
Beanz04\n,The Classic Frapp,Pumpkin Spice in a glass Jar,Belly Blaster Garcinia-ccino
bholland25\n,Pumpkin Spice in a glass Jar,Decaf Bottled Mocha Lite,A Red Velvet Frappuccino
christam\n,The Classic Frapp,Caffeine free vanilla frap in a bottle,Chocolate Cinnamon Frappuccino
ceci22\n,Salted hazelnut frappuccino !,The Classic Frapp,How about a birthday cake drink?
eqitec\n,Belly Blaster Garcinia-ccino,Vanilla frapacinos please!,Bring back the Classic Frappuccino
micromac\n,Decaf Green tea frappucino,Belly Blaster Garcinia-ccino,Thin Mint Frapp
Abbie4me2\n,Caffeine free vanilla frap in a bottle,Decaf Green tea frappucino,Frappuccino flavor
poop1\n,Pumpkin Spice in a glass Jar,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Frappuccino flavor
marbux\n,Bring back the dark chocolate cherry frap,The Classic Frapp,Frappuccino flavor
NEGal\n,Pumpkin Spice in a glass Jar,Bring back the Classic Frappuccino,Decaf Bottled Mocha Lite
rmhl\n,Frappuccino flavor,Pumpkin Spice in a glass Jar,Decaf Bottled Mocha Lite
Coffee2go\n,Frappuccino flavor,Pumpkin Spice in a glass Jar,Caffeine free vanilla frap in a bottle
acecowboy\n,Frappuccino flavor,Bring back the Classic Frappuccino,Devil's Drink
ThalwilGirls\n,Pumpkin Spice in a glass Jar,Vanilla frapacinos please!,Decaf Bottled Mocha Lite
BrianBe\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Frappuccino flavor,Decaf Bottled Mocha Lite
carlkent\n,Pumpkin Spice in a glass Jar,How about a birthday cake drink?,Frappuccino flavor
Ungreen\n,Decaf Bottled Mocha Lite,Chocolate Cinnamon Frappuccino,Frappuccino flavor
Mojoatl\n,Decaf Green tea frappucino,The Classic Frapp,Chocolate Cinnamon Frappuccino
MRJEFF\n,Devil's Drink,Pumpkin Spice in a glass Jar,Thin Mint Frapp
theharryo\n,How about a birthday cake drink?,Bring back the dark chocolate cherry frap,Bring back the Classic Frappuccino
Seer99\n,Belly Blaster Garcinia-ccino,Pumpkin Spice in a glass Jar,Chocolate Cinnamon Frappuccino
SusieBrown\n,Trenta Frappucino,The Classic Frapp,Frappuccino flavor
mickeygrumpy\n,Cotton Candy Frap,Decaf Green tea frappucino,Belly Blaster Garcinia-ccino
Vemma\n,Decaf Green tea frappucino,Thin Mint Frapp,Devil's Drink
ggval\n,How about a birthday cake drink?,Sakura Mochi Frappucino,Decaf Bottled Mocha Lite
tinahrfi\n,Trenta Frappucino,Frappuccino flavor,Pumpkin Spice in a glass Jar
Frapp_Fanatic\n,A Red Velvet Frappuccino,Sakura Mochi Frappucino,Devil's Drink
caprafan\n,Trenta Frappucino,Bring back the Classic Frappuccino,Caffeine free vanilla frap in a bottle
TonyOne\n,Decaf Green tea frappucino,Thin Mint Frapp,Peanut butter drizzle & peanut butter frapp or choc pb frapp
cmlstudio\n,Decaf Green tea frappucino,How about a birthday cake drink?,Peanut butter drizzle & peanut butter frapp or choc pb frapp
dlang\n,Belly Blaster Garcinia-ccino,Sakura Mochi Frappucino,Vanilla frapacinos please!
mt26\n,Decaf Green tea frappucino,Thin Mint Frapp,Maple chip Frappuccino
AndyinPgh\n,Thin Mint Frapp,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Frappuccino flavor
Sean28\n,Chocolate Cinnamon Frappuccino,Raspberry creamsicle frappuccino,Caffeine free vanilla frap in a bottle
markds\n,Sakura Mochi Frappucino,Decaf Bottled Mocha Lite,How about a birthday cake drink?
